city,country,ID,date,cloudiness,humidity,latitude,longitude,temperature,wind speed
Tongren,CN,1792592,1535063686,92,92,27.72,109.18,72.07,5.03
Norman Wells,CA,6089245,1535061600,90,75,65.28,-126.83,46.4,8.05
Manta,EC,3654410,1535061600,20,74,-0.95,-80.73,80.6,8.05
Lorengau,PG,2092164,1535063686,68,100,-2.02,147.27,79.09,2.8
Kloulklubed,PW,7671223,1535064600,90,88,7.04,134.26,77.0,3.36
Soyo,AO,2236967,1535063687,8,98,-6.13,12.37,67.39,4.14
Maceio,BR,3395981,1535061600,40,83,-9.67,-35.74,75.2,5.82
Najran,SA,103630,1535061600,0,21,17.54,44.22,80.6,2.46
Jalu,LY,86049,1535063687,0,33,29.03,21.55,85.12,13.42
Sola,VU,2134814,1535063688,68,94,-13.88,167.55,80.35,11.41
Shizuishan,CN,1813344,1535063633,0,66,39.02,106.36,60.01,2.35
Morgan City,US,4333811,1535061360,20,59,29.7,-91.21,87.98,5.82
Cap Malheureux,MU,934649,1535061600,75,83,-19.98,57.61,69.8,6.93
Champasak,LA,1657819,1535063688,92,100,14.89,105.88,72.97,4.03
Samboan,PH,1690623,1535058000,20,88,9.53,123.31,75.2,7.72
Barcelos,BR,3665098,1535063689,12,91,-0.97,-62.93,77.74,3.91
Kedrovyy,RU,1538641,1535061600,0,93,56.17,91.82,53.6,5.7
Kununurra,AU,2068110,1535061600,0,87,-15.77,128.74,55.4,3.36
Sur,OM,286245,1535063596,0,91,22.57,59.53,84.76,5.14
Inuvik,CA,5983607,1535061600,90,62,68.36,-133.71,50.0,9.17
Champerico,GT,3598787,1535061600,75,74,14.3,-91.92,80.6,6.93
Ola,RU,2122574,1535061600,90,87,59.58,151.3,57.2,2.24
Isangel,VU,2136825,1535063691,80,100,-19.55,169.27,71.8,16.55
Rawson,AR,3839307,1535063525,0,34,-43.3,-65.11,46.96,12.64
Tapes,BR,3446880,1535063691,0,95,-30.67,-51.4,50.74,7.16
Ewa Beach,US,5855051,1535061480,20,67,21.32,-158.01,82.94,11.41
